"cand_id","cdial_id","headword","donor_family","direction","turner_hedged","turner_rv_tag_in_entry","rv_simplex_lemma","rv_simplex_tokens","rv_derivative_lemmas","rv_compound_lemmas","rv_books_simplex","rv_strata_simplex","bracket","source_id","retrieval_date"
"DE-CAND-129","4479","ghuṭa","dravidian","into-Indo-Aryan","no","no","","0","","","","","← Drav. T. Burrow BSOAS xii 377: belongs to the word-group 'heel-ankle-knee-wrist' s.v. *kuṭṭha-","SRC-060; SRC-054; SRC-022; SRC-023","2026-09-07"
"DE-CAND-130","4494","ghūka","dravidian","into-Indo-Aryan","no","no","","0","","","","","← Drav. Tam. kūkai T. Burrow BSOS ix 721","SRC-060; SRC-054; SRC-022; SRC-023","2026-09-07"
"DE-CAND-131","4497","ghū́rṇati","dravidian","into-Indo-Aryan","no","no","","0","","","","","Cf. ghuṇáti, ghṓṇatē 'moves about' Dhātup. and ghōlayati, *ghurati²: prob. ← Drav. T. Burrow BSOAS xii 378: *ghūr-","SRC-060; SRC-054; SRC-022; SRC-023","2026-09-07"
"DE-CAND-132","4525","*ghōla","dravidian","into-Indo-Aryan","no","no","","0","","","","","Like kulā́ya- 'nest' ← Drav.: Tam. kūṭu, Kan. Tel. Tu. gūḍu DED 1563; cf. kuṇḍá-¹","SRC-060; SRC-054; SRC-022; SRC-023","2026-09-07"
"DE-CAND-133","4546","cakramarda","dravidian","into-Indo-Aryan","no","no","","0","","","","","Like cakragaja-, cakrapadmāṭa- 'id.' ← Drav. EWA i 366. By pop. etym. 'destroying the circle i.e. ringworm'. — cakrá-, marda-","SRC-060; SRC-054; SRC-022; SRC-023","2026-09-07"
"DE-CAND-134","4569","cañcu","dravidian","into-Indo-Aryan","no","no","","0","","","","","← Drav. EWA i 368 with lit.: see *cōṇṭa-","SRC-060; SRC-054; SRC-022; SRC-023","2026-09-07"
"DE-CAND-135","4673","capēṭa","dravidian","into-Indo-Aryan","no","no","","0","","","","","← Drav. T. Burrow BSOAS xii 137: cf. carpaṭa-, cipiṭá-, *capp-","SRC-060; SRC-054; SRC-022; SRC-023","2026-09-07"
"DE-CAND-136","4736","*cāṭī","dravidian","into-Indo-Aryan","no","no","","0","","","","","← Drav., cf. Tam. cāṭi 'jar', Mal. cāḍi, Tel. Kan. Tu. jāḍi. Cf. *cāṭṭa-, *cāḍḍa-","SRC-060; SRC-054; SRC-022; SRC-023","2026-09-07"
"DE-CAND-137","4738","*cāṭṭa","dravidian","into-Indo-Aryan","no","no","","0","","","","","← Drav., Tam. caṭṭi DED 1901: see *cāṭī-, *cāḍḍa-","SRC-060; SRC-054; SRC-022; SRC-023","2026-09-07"
"DE-CAND-138","4780","cikka","dravidian","into-Indo-Aryan","no","no","","0","","","","","Cf. cikkáṇa-, cikhalla- (and further forms there shown), *kicca-: ← Drav. (DED 2053), ← Mu. (Kuiper) EWA i 385, 386.","SRC-060; SRC-054; SRC-022; SRC-023","2026-09-07"
"DE-CAND-139","4780","cikka","munda","into-Indo-Aryan","no","no","","0","","","","","Cf. cikkáṇa-, cikhalla- (and further forms there shown), *kicca-: ← Drav. (DED 2053), ← Mu. (Kuiper) EWA i 385, 386.","SRC-060; SRC-054; SRC-022; SRC-023","2026-09-07"
"DE-CAND-140","4781","*cikka","dravidian","into-Indo-Aryan","no","no","","0","","","","","Cf. cikva- m. 'young elephant', cikkagaja- m.; cikṣa- 'young', *ciṅga-: perh. same as cikká-⁴, cikiná- 'flat-nosed' Pāṇ., cikina- 'flattened, stumpy' Harṣac. — ← Drav. (cf. Kan. cikka 'small') LM 330, T. Burrow BSOAS 12, 379","SRC-060; SRC-054; SRC-022; SRC-023","2026-09-07"
"DE-CAND-141","4792","ciñcā","dravidian","into-Indo-Aryan","no","no","","0","","","","","Cf. caṇḍa-² 'tamarind', cuñcurī-, °ulī- f. 'game played with tamarind seeds' lex., *tintiṇī- and other forms s.v. tintiḍī-: ← Mu. PMWS 135 with some forms through Drav. T. Burrow BSOAS xii 379","SRC-060; SRC-054; SRC-022; SRC-023","2026-09-07"
"DE-CAND-142","4792","ciñcā","munda","into-Indo-Aryan","no","no","","0","","","","","Cf. caṇḍa-² 'tamarind', cuñcurī-, °ulī- f. 'game played with tamarind seeds' lex., *tintiṇī- and other forms s.v. tintiḍī-: ← Mu. PMWS 135 with some forms through Drav. T. Burrow BSOAS xii 379","SRC-060; SRC-054; SRC-022; SRC-023","2026-09-07"
"DE-CAND-143","4820","cibuka","munda","into-Indo-Aryan","no","yes","","0","","","","","← Mu. PMWS 155, EWA i 389, 395","SRC-060; SRC-054; SRC-022; SRC-023","2026-09-07"
